Unverified Manufacturers (352 total)
Generated: 2026-01-29T22:18:42.743Z

NAME	CATEGORY	COUNTRY	FILE
A. O. Smith Water Products	hvac	undefined	a/a-o-smith.yaml
Aalberts integrated piping systems (Apollo Valves)	plumbing	undefined	a/aalberts-ips.yaml
AB&I Foundry (McWane)	plumbing	undefined	a/ab-i-foundry.yaml
ABB Installation Products (Carlon / T&B)	electrical	undefined	a/abb-installation-products.yaml
ABB	electrical	undefined	a/abb.yaml
ACO Drain	plumbing	undefined	a/aco-drain.yaml
Acorn Engineering	plumbing	undefined	a/acorn-engineering.yaml
AcornVac	plumbing	undefined	a/acornvac.yaml
Acuity Brands	electrical	undefined	a/acuity-brands.yaml
Addison HVAC	hvac	undefined	a/addison.yaml
Advance Tabco	plumbing	undefined	a/advance-tabco.yaml
Advantech	electrical	undefined	a/advantech.yaml
Airedale by Modine	hvac	undefined	a/airedale.yaml
Alfa Laval	hvac	undefined	a/alfa-laval.yaml
Amana Heating & Air Conditioning	hvac	undefined	a/amana-hac.yaml
American-Marsh Pumps	hvac, plumbing	undefined	a/american-marsh.yaml
American Standard Heating & Air Conditioning	hvac	undefined	a/american-standard-air.yaml
American Standard (Plumbing)	plumbing	undefined	a/american-standard-plumbing.yaml
Ames Fire & Waterworks	plumbing	undefined	a/ames-fire-and-waterworks.yaml
AMT Pump Company	plumbing	undefined	a/amt-pumps.yaml
Anden	hvac	undefined	a/anden.yaml
Anemostat (Air Distribution Laboratories)	hvac	undefined	a/anemostat.yaml
Anvil (ASC Engineered Solutions)	plumbing, hydronics	undefined	a/anvil.yaml
A. O. Smith Water Products	hvac	undefined	a/ao-smith-water-products.yaml
A. O. Smith Water Products	hvac	undefined	a/ao-smith.yaml
APC by Schneider Electric	electrical	undefined	a/apc.yaml
aquatherm North America	plumbing, hydronics	undefined	a/aquatherm.yaml
Ariston (USA)	plumbing	undefined	a/ariston.yaml
Armstrong Fluid Technology	hvac	undefined	a/armstrong-fluid-technology.yaml
Armstrong International	hvac	undefined	a/armstrong-international.yaml
Axiom Industries	hvac	undefined	a/axiom-industries.yaml
A.Y. McDonald	plumbing	undefined	a/ay-mcdonald.yaml
Baltimore Aircoil Company (BAC)	hvac	undefined	b/baltimore-aircoil.yaml
Banner Engineering	electrical	undefined	b/banner-engineering.yaml
Basement Watchdog	plumbing	undefined	b/basement-watchdog.yaml
Beckett (R.W. Beckett)	hvac	undefined	b/beckett.yaml
Belden	electrical	undefined	b/belden.yaml
Belimo	hvac	undefined	b/belimo.yaml
Bell & Gossett (Xylem)	hvac, plumbing	undefined	b/bell-gossett.yaml
Bender (North America)	electrical	undefined	b/bender.yaml
Berkeley Pumps (Pentair)	plumbing	undefined	b/berkeley-pumps.yaml
BITZER	hvac	undefined	b/bitzer.yaml
BLANCO America	plumbing	undefined	b/blanco.yaml
BLÜCHER (USA)	plumbing, drainage	undefined	b/blucher.yaml
Blue Angel Pumps	plumbing	undefined	b/blue-angel-pumps.yaml
Bosch Home Comfort (Thermotechnology)	plumbing	undefined	b/bosch-thermotechnology.yaml
Bradley Corporation	plumbing	undefined	b/bradley-corporation.yaml
Bradley Corporation	plumbing	undefined	b/bradley.yaml
BrassCraft	plumbing	undefined	b/brasscraft.yaml
Bridgeport Fittings (NSI Industries)	electrical	undefined	b/bridgeport-fittings.yaml
Brizo	plumbing	undefined	b/brizo.yaml
Buderus (Bosch Thermotechnology)	hvac	undefined	b/buderus.yaml
Burcam	plumbing	undefined	b/burcam.yaml
BURNDY	electrical	undefined	b/burndy.yaml
Burnham Commercial Boilers	hvac, plumbing	undefined	b/burnham-commercial.yaml
Burnham Hydronics	hvac	undefined	b/burnham-hydronics.yaml
Caleffi North America	hvac	undefined	c/caleffi.yaml
Calpeda	hvac	undefined	c/calpeda.yaml
Camfil USA	hvac, airflow	undefined	c/camfil.yaml
Camus Hydronics	hvac	undefined	c/camus-hydronics.yaml
Camus Hydronics	hydronics, boilers, water-heaters	undefined	c/camus.yaml
CANTEX	electrical	undefined	c/cantex.yaml
CaptiveAire	hvac	undefined	c/captiveaire.yaml
CAREL USA	hvac	undefined	c/carel.yaml
Carlin Combustion	hvac	undefined	c/carlin.yaml
Cherne (Oatey)	plumbing	undefined	c/cherne.yaml
Cimberio Valve US	plumbing	undefined	c/cimberio.yaml
Cla-Val	plumbing	undefined	c/cla-val.yaml
ClimateMaster	hvac	undefined	c/climatemaster.yaml
Clivet (Mits Airconditioning Inc.)	hvac	undefined	c/clivet.yaml
Colmac Coil	hvac	undefined	c/colmac-coil.yaml
Columbia Boiler Company	hvac	undefined	c/columbia-boiler.yaml
Condair	hvac	undefined	c/condair.yaml
Control Techniques (Nidec Drives)	electrical	undefined	c/control-techniques.yaml
Cooper Lighting Solutions	electrical	undefined	c/cooper-lighting-solutions.yaml
